Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	is_outlier	outlier_info
gene-AUO97_RS09290	862	619	228	235	120	81	host	lnt	False	
gene-AUO97_RS15265	72	61	13	22	11	7	host	gene-AUO97_RS15265	False	
gene-AUO97_RS15380	25	26	4	8	2	6	host	gspJ	False	
gene-AUO97_RS14030	49	51	21	13	19	4	host	tssK	False	
gene-AUO97_RS16380	59	48	37	41	19	15	host	gene-AUO97_RS16380	False	
gene-AUO97_RS04865	345	256	83	84	37	33	host	gmk	False	
gene-AUO97_RS10155	119	106	27	47	20	11	host	gene-AUO97_RS10155	False	
gene-AUO97_RS15230	312	239	91	114	49	33	host	gene-AUO97_RS15230	False	
gene-AUO97_RS11695	153	118	28	47	22	23	host	gene-AUO97_RS11695	False	
gene-AUO97_RS00100	68	49	17	15	11	8	host	gene-AUO97_RS00100	False	
gene-AUO97_RS09720	390	284	63	85	58	29	host	gene-AUO97_RS09720	False	
gene-AUO97_RS03540	0	0	0	0	0	1	host	gene-AUO97_RS03540	False	
gene-AUO97_RS14835	689	559	167	217	96	96	host	dnaE	False	
gene-AUO97_RS16190	150	135	46	68	9	6	host	gene-AUO97_RS16190	False	
gene-AUO97_RS14335	14	6	2	1	0	1	host	phnX	False	
gene-AUO97_RS10925	129	90	27	35	19	13	host	gene-AUO97_RS10925	False	
gene-AUO97_RS09065	109	83	45	41	15	9	host	coaE	False	
gene-AUO97_RS12135	267	194	86	97	40	22	host	gene-AUO97_RS12135	False	
gene-AUO97_RS15975	11	17	1	7	2	2	host	gene-AUO97_RS15975	False	
gene-AUO97_RS00740	150	101	36	55	12	18	host	folE	False	
gene-AUO97_RS16915	1	2	1	3	0	1	host	gene-AUO97_RS16915	False	
gene-AUO97_RS01400	31	29	2	8	4	2	host	rarD	False	
gene-AUO97_RS08450	0	0	0	0	0	0	host	gene-AUO97_RS08450	False	
gene-AUO97_RS01710	0	0	0	1	0	0	host	gene-AUO97_RS01710	False	
