Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	gene_length	Entity	Symbol
gene-T4p261	0.0	1.7463898342665325	38.00530156758855	312.99439845776214	612.4814364589392	992.3434159538134	15141.615106059691	17469.46361068228	8249.277955090967	8189.82347651762	9987.674606822038	1772.5615793299698	2114.411832193765	2167.83189342397	207.0	phage	arn.4
gene-T4p146	0.0	0.5906906792372094	7.3455624878532495	139.82269187486045	88.98269586138557	64.17697268849878	46.081666487467515	28.44396437728062	82.2237179566807	91.36860447693631	53.48832697324426	1994.993553677102	2140.089594062924	2985.597332036188	153.0	phage	repEA
gene-b1415	19.00033198103104	15.878503821245237	18.10681153255826	16.412520736739573	12.737193183630623	14.637697854035096	1.3289623460225009	1.5380692791063013	0.582418002193155	0.4648112146355771	0.3508107864757533	0.23943815114603748	0.4167459335619566	0.32630977453371274	1440.0	host	aldA
gene-b0582	230.326500239641	170.27653927865725	209.62770187707565	182.93423986892924	198.34726596011342	196.44035090312454	23.106486753939237	30.268260802614005	8.209540743071624	8.969048743865244	8.593445896203896	3.3794750075990585	4.236462320383386	2.6537013623996972	1113.0	host	insL2
gene-b3027	3.9596914581113203	4.342374723041107	6.074978706170525	5.506530722484852	6.246157704984646	7.076812123488513	0.5041108946505456	0.4667445892024812	0.26511203513770926	0.11485682523813488	0.2022692822923262	0.0	0.08581640845548655	0.20158132789727426	333.0	host	ygiZ
gene-b3033	646.0405111417474	571.0973437280434	658.9125840167936	550.214806209895	522.5629772025163	545.3495148684518	45.00315939946296	53.37025762811563	13.148428806510646	18.716774989337768	18.152592185298555	8.595690687176896	11.147003694058414	12.2192596421135	423.0	host	yqiB
gene-b2867	16.375959468827276	14.805571154669167	14.575802151665117	13.75275363605811	13.55239864441751	11.021792715649347	1.413231020020335	0.9725173095840094	0.6026096088795713	0.39161081369589334	0.49807947840926065	0.24961594410508406	0.35761718335887055	0.38183493850848876	879.0	host	xdhB
gene-b0264	394.3958755442931	258.21621120940875	313.07836689300245	385.7885621452003	384.3668458506502	327.30256071134374	35.10592262425353	45.25547202182451	13.04966651530528	13.545926826522534	15.302032400561428	5.224105115913544	7.200916130934488	4.262005218399513	504.0	host	insB2
gene-b1793	384.80048666898864	357.6041372102066	407.2379843265842	344.36331541751343	365.5705754971923	384.0350045679767	54.244704550961764	66.43697393836258	27.52330769497312	25.198236200479283	22.583960277592023	8.481488305836107	10.758348805901937	5.0015884768864876	255.0	host	yoaF
gene-b4206	618.7064378550793	610.2833066964155	594.8250277135701	578.065081995315	537.5254576579649	472.8728075879696	27.05868478187647	29.309588041679753	12.088735405046954	12.9286724972278	11.542168974751544	6.573052446313755	10.330603423507656	6.9332620102132925	639.0	host	ytfB
gene-b3050	14.302028433225887	12.050089856439074	12.844240693046254	20.05076424980992	20.709663143929614	19.326436918193632	2.558002711141054	2.7754633607933257	0.6305879121489799	1.0320706153540977	1.0691376349737243	0.19901352822527787	0.4536010161218575	0.21310026091997564	630.0	host	yqiJ
gene-b4194	23.69991799193099	31.011260659953496	24.240356209915724	19.308847925575968	19.155997025714946	22.67586368326957	2.304083324373376	2.539639676542912	0.28850427353221303	0.8124431314638658	0.9905245735785976	0.10243343364536363	0.4669422224783827	0.2193679156529161	306.0	host	ulaB
gene-b2832	557.1019683817544	553.5193586366394	633.0825498459808	497.93999453394184	547.9321361226391	635.7187551743579	76.31688235628549	101.76698989575529	21.20506410461766	21.186017043557737	20.942519555661775	10.887210661735791	13.127747054820817	9.965571025375333	714.0	host	ygdQ
gene-b3081	12.2453311251028	9.758245128914258	8.795028607298883	10.023940522720483	10.62977412484791	8.040716697019638	1.0143640022819744	0.9237797813041677	0.26235455483167064	0.35045838131725104	0.183484987874391	0.15524829467796564	0.48123495618277307	0.1662372020549587	2019.0	host	fadH
gene-b3068	264.8424402175225	251.87539892231376	225.21755376958816	222.2270712283285	189.0882287054443	156.22725777543428	19.601263378270207	14.408322614611505	6.2685662272798	7.128938865890034	5.911888283331037	3.9567186676741644	3.9455236313558024	2.250792696699151	507.0	host	mug
gene-b2649	0.13873918934670346	0.11411069939809727	0.2838058233943301	0.25724954132820643	0.7162432905509253	0.16530432359158775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	792.0	host	ypjB
gene-b1954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4850676247299845	0.0	0.0	0.0	0.0	0.0	91.0	host	dsrA
gene-b4013	99.1295983339917	102.81447635574628	93.77676807073556	71.63818839929486	66.58752139896022	87.28068285635834	6.281546980181056	6.977455201650318	2.563034739702305	3.1050245932522236	4.236888982468452	1.8200108145763316	2.366041429254979	2.0931944983913735	930.0	host	metA
gene-b1499	1.1536108972450303	1.304635712803443	0.8849378430248404	0.9803840787626136	1.612957331476887	1.2026865747923394	0.17624034427152932	0.6119131819071899	0.057928023425759305	0.07529000552027346	0.132589903549891	0.0	0.0	0.0	762.0	host	ydeO
gene-b2650	0.0	0.0	0.0	0.1406084449495787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	483.0	host	ypjC
gene-b3645	19.04611591351545	15.555570541948622	18.799297741640427	22.555639783657142	20.169411061914058	18.090905173863366	2.807989339729839	2.496234925707452	1.1235930071018188	1.4835325208940187	1.3471134200668926	0.30394793401678805	0.4849407226902767	0.40682777084722627	825.0	host	dinD
gene-b2460	4.852314212023167	3.7334680110762086	5.76344133662332	3.8697366900653285	2.962920962620922	2.2379662270861114	0.430433148509312	0.44280896924337965	0.0	0.16345009745426886	0.33581887252379805	0.0	0.08141556699623084	0.1912438239025423	702.0	host	eutQ
gene-b2930	3.4124670174717124	4.210046921892533	3.0249117574203135	5.0619040181848325	3.1318961276264066	3.25269625551646	0.7646203756128152	0.6033616001724621	0.1370843287280391	0.09898375466951065	0.2091791024948591	0.0648957157256341	0.11833069985787588	0.13897843103476673	966.0	host	yggF
gene-b0381	654.3715588621404	602.0918185118016	693.2077756687681	517.1998504437272	523.0577577614528	615.9864083232303	44.45843753096182	61.03484724009432	16.97116508769903	18.547331880440847	20.97560165492285	9.074199023258048	12.08318542398033	9.134119402994575	1095.0	host	ddlA
