Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	45_R1	45_R2	45_R3	75_R1	75_R2	75_R3	135_R1	135_R2	135_R3	gene_length	Entity	Symbol
gene-FTB24_03575	21.44324261953968	18.778954427621006	31.129157019192306	12.203667317104813	19.106242071937128	17.570879971763826	16.81261925365599	14.619820011570829	15.372469421752706	10.455593165088962	16.171660823437193	16.863937915538354	19.665421498363823	27.05479631526528	28.015774614981343	876	host	dpsA
gene-FTB24_07525	3.4461362459011577	2.423243866796549	24.158581510541758	3.999406124124136	1.4327228261442324	10.754991403723048	3.5420525411742774	3.2020607886128727	6.033281009612621	2.634953858635768	3.9411674682696187	7.049777911721116	4.6713874944252485	18.906681694972228	20.539371741123844	792	host	asrB
gene-FTB24_13070	3.1791961639530775	1.4703983293574534	13.79790817386988	2.7768153906356936	2.4576161349454284	5.671730745475626	2.430339020825519	2.7201664917127175	2.9867727770359513	2.104484599966521	2.5754163654039095	3.8389879717293214	3.911130742547872	12.888164671335867	8.068577097869516	1212	host	spoIIIAE
gene-FTB24_05790	614.5841047081742	567.1244237141544	384.55687897742536	662.6139365509501	745.8990548987884	741.0475980324471	452.8198785651346	444.288127612357	499.41241160848216	286.58030886252277	311.7384560992526	319.7508858316249	332.59639044212645	229.555847523463	284.5229115432077	657	host	gene-FTB24_05790
gene-FTB24_09125	309.33079325080627	389.2487253617757	310.7819204024214	789.4639235329332	853.5127437172532	809.7806148121483	473.1811299454785	558.1041072106701	624.1760876960493	245.432386288147	267.9739916766103	314.4533137115605	283.69507456327574	234.0671264267382	298.17178076313337	573	host	gene-FTB24_09125
gene-FTB24_15240	284.08205936878306	263.14702145385917	267.1188108603475	294.56751942359335	281.14400680107497	296.47172578401785	220.73919498687482	218.81492722013738	231.62623071756764	167.74224582107024	197.19329479927862	200.72966839526575	154.7757167556419	105.80185932170546	127.13791215268455	1119	host	gene-FTB24_15240
gene-FTB24_06415	171.41365181734977	75.58646819739181	208.42944564372917	243.86604372267453	90.82708653109096	122.471560203219	97.7286917676175	77.06613973195343	83.46794780215957	60.002984359810995	53.55793570529958	54.662281740318804	105.76477889163931	99.6274843942995	84.60339415605864	798	host	cas5
gene-FTB24_14675	3.831156600259637	3.680170934808949	24.82883756365355	5.167017979153666	4.336630836181536	8.803567672045524	7.217229204701414	3.404069992726705	7.882407404057654	3.8905358986568395	5.282018971413491	9.715130187069816	5.08679611389595	14.138703398760558	13.673259847060761	1341	host	gene-FTB24_14675
gene-FTB24_11645	28.17902558595283	17.99511311449169	52.21930168329771	32.99510052402412	17.782245696170673	27.771621957261562	17.37799937015061	17.580163834118817	21.356746936681844	11.114997102799848	12.040816608300918	14.068362115868245	26.94315751762527	34.161305564608895	31.898067730345282	678	host	gene-FTB24_11645
gene-FTB24_18985	2327.9663910546415	3058.938824304819	3337.255213316699	1590.670776425628	2528.372618086416	2637.750498791199	1454.8445386326423	1720.6683213526096	1444.6200296505015	1271.2733197966897	1584.433926912758	1182.1493868015143	1099.7043664928647	549.9101844705962	692.1042123409104	86	host	gene-FTB24_18985
